district,total
강서구,0.346874526
금정구,0.3527267612
기장군,0.2813099559
남구,0.3810096301
동구,0.3798208759
동래구,0.5021231079
부산진구,0.3552683019
북구,0.3118790395
사상구,0.3147155184
사하구,0.3807160923
서구,0.4792357828
수영구,0.5452384822
연제구,0.501173045
영도구,0.4236213703
중구,0.7098446195
해운대구,0.3665866568
