district,shop_rate,green_rate,share_rate,trans_rate,recycle_rate,budget_rate,total
부산광역시 강서구,0.0,0.0062282862177334185,0.008270507009289017,0.010617927835026462,1.732,0.3241304347826088,0.34687452597410956
부산광역시 금정구,0.031536154413878595,0.10477661825719271,0.05477497254634805,0.10246317471830714,1.7147661691542286,0.10804347826086964,0.35272676122513746
부산광역시 기장군,0.0026356380297851557,0.0736415362547996,0.019529586148580195,0.014190721256215044,1.4235144278606966,0.15434782608695657,0.28130995593950553
부산광역시 남구,0.08024280630040606,0.17463687424180635,0.17523374774558692,0.0024164702098203846,1.6837452736318406,0.1697826086956522,0.38100963013751876
부산광역시 동구,0.042516835681499596,0.19377322072314154,0.143288393516034,0.02716436989590041,1.6406606965174126,0.23152173913043478,0.37982087591073715
부산광역시 동래구,0.13089472818556908,0.8353130098022152,0.2251726568144392,0.04358356085121319,1.6234268656716415,0.15434782608695657,0.5021231079020058
부산광역시 부산진구,0.14705255563539701,0.2669122711781277,0.02571903090674823,0.0015141430829060084,1.6441074626865668,0.046304347826087,0.35526830188597214
부산광역시 북구,0.03698545909376838,0.050283228727195935,0.10139197961052933,0.014378743528881311,1.6682348258706468,0.0,0.3118790394718369
부산광역시 사상구,0.00984175018577888,0.03785362901988238,0.051555142397228214,0.0023483211729051117,1.6940855721393036,0.092608695652174,0.3147155184278787
부산광역시 사하구,0.008174199644432967,0.22592630117410534,0.05913783788765728,0.17004761591431675,1.6975323383084577,0.12347826086956537,0.3807160922997559
부산광역시 서구,0.06111458531868007,0.4805409604920822,0.22602093644097365,0.011078902637838348,1.6027462686567164,0.4939130434782609,0.47923578283742535
부산광역시 수영구,0.8878328631858905,0.09984466194603979,0.35133927921486885,0.07536377540270095,1.7027024875621888,0.15434782608695657,0.5452384822331076
부산광역시 연제구,0.1258517378453625,0.7925049028863429,0.17562320544738555,0.08335524393796753,1.721659701492537,0.10804347826086964,0.5011730449784109
부산광역시 영도구,0.01317338291802694,0.4045884129441067,0.11016208843722558,0.3007615511821442,1.7130427860696518,0.0,0.42362137025852586
부산광역시 중구,0.5468946838332862,0.6024474521649041,1.328,0.17142170925372902,1.3942169154228854,0.2160869565217392,0.7098446195327573
부산광역시 해운대구,0.13534111233587193,0.12075859469207864,0.16549451639031457,0.014240750752059784,1.5475980099502487,0.2160869565217392,0.3665866567737188
서울특별시 강남구,0.8284305955176126,0.147916941497019,0.16480673642193308,0.48028709630504074,1.2666865671641792,0.8180434782608696,0.6176952358611091
서울특별시 강동구,0.2951534243060564,0.23970734554633827,0.2540262511637502,0.549956111991375,1.4131741293532338,0.4321739130434782,0.5306985292340387
서울특별시 강북구,0.17608862976371248,0.3424060102355198,0.2510174049757135,0.2726331694730383,0.8772019900497511,0.4939130434782609,0.40221004132933263
서울특별시 강서구,0.17416376467807415,0.18169312840124274,0.22548913645129914,0.3974569416350234,1.245144278606965,0.38586956521739135,0.4349694691649993
서울특별시 관악구,0.34253935198934554,0.10127208095225808,0.2346553723969291,0.2562509949803337,1.4924497512437809,0.2932608695652175,0.45340473685464416
서울특별시 광진구,0.5304146586386015,0.08998822178150243,0.35140117123051956,0.6417662337820494,1.5579383084577112,0.3241304347826088,0.5826065047788321
서울특별시 구로구,0.12981888518075194,0.23541863115896233,0.38191402724211615,0.5102763417782277,0.5773333333333333,0.3395652173913045,0.3623877393474493
서울특별시 금천구,0.42335311704670847,0.2644250774690123,0.2261258386554895,0.6160025327833518,0.8651383084577112,0.4167391304347826,0.4686306674745093
